Cuisine,Count
American,8
Andhra,12
Arabian,4
Asian,3
Bakery,2
Beverages,9
Biryani,18
Cafe,2
Chaat,2
Chettinad,2
Chinese,35
Combo,1
Continental,3
Desserts,15
Fast Food,16
Grill,2
Healthy Food,4
Home Food,2
Hyderabadi,5
Ice Cream,2
Indian,5
Italian,4
Jain,2
Juices,2
Kebabs,2
Kerala,6
Lebanese,1
Mediterranean,1
Mexican,3
Middle Eastern,1
Mughlai,7
North Indian,32
Oriental,1
Pan-Asian,2
Pastas,1
Pizzas,5
Portuguese,2
Punjabi,2
Rajasthani,1
Salads,2
Seafood,8
Snacks,4
South Indian,23
Sweets,2
Tandoor,1
Thai,2
Thalis,1
Turkish,2
